year,group,count,N,pol_total,group_rate,group_share_within_political
1980,institutions_elections_law,1,8,11,0.125,0.09090909090909091
1980,migration_police_civilrights,2,8,11,0.25,0.18181818181818182
1980,war_security_intel,5,8,11,0.625,0.45454545454545453
1981,institutions_elections_law,4,11,29,0.36363636363636365,0.13793103448275862
1981,labor_collective_action,3,11,29,0.2727272727272727,0.10344827586206896
1981,migration_police_civilrights,4,11,29,0.36363636363636365,0.13793103448275862
1981,war_security_intel,18,11,29,1.6363636363636365,0.6206896551724138
1982,economy_finance_crisis,1,9,26,0.1111111111111111,0.038461538461538464
1982,inequality_corruption_elites,1,9,26,0.1111111111111111,0.038461538461538464
1982,institutions_elections_law,2,9,26,0.2222222222222222,0.07692307692307693
1982,labor_collective_action,3,9,26,0.3333333333333333,0.11538461538461539
1982,migration_police_civilrights,10,9,26,1.1111111111111112,0.38461538461538464
1982,war_security_intel,9,9,26,1.0,0.34615384615384615
1983,economy_finance_crisis,1,9,19,0.1111111111111111,0.05263157894736842
1983,inequality_corruption_elites,1,9,19,0.1111111111111111,0.05263157894736842
1983,institutions_elections_law,2,9,19,0.2222222222222222,0.10526315789473684
1983,war_security_intel,15,9,19,1.6666666666666667,0.7894736842105263
1984,economy_finance_crisis,2,8,10,0.25,0.2
1984,inequality_corruption_elites,1,8,10,0.125,0.1
1984,migration_police_civilrights,4,8,10,0.5,0.4
1984,war_security_intel,3,8,10,0.375,0.3
1985,economy_finance_crisis,1,14,35,0.07142857142857142,0.02857142857142857
1985,inequality_corruption_elites,1,14,35,0.07142857142857142,0.02857142857142857
1985,institutions_elections_law,3,14,35,0.21428571428571427,0.08571428571428572
1985,labor_collective_action,1,14,35,0.07142857142857142,0.02857142857142857
1985,migration_police_civilrights,8,14,35,0.5714285714285714,0.22857142857142856
1985,war_security_intel,21,14,35,1.5,0.6
1986,inequality_corruption_elites,1,7,17,0.14285714285714285,0.058823529411764705
1986,institutions_elections_law,1,7,17,0.14285714285714285,0.058823529411764705
1986,labor_collective_action,1,7,17,0.14285714285714285,0.058823529411764705
1986,migration_police_civilrights,2,7,17,0.2857142857142857,0.11764705882352941
1986,war_security_intel,12,7,17,1.7142857142857142,0.7058823529411765
1987,economy_finance_crisis,3,11,36,0.2727272727272727,0.08333333333333333
1987,migration_police_civilrights,20,11,36,1.8181818181818181,0.5555555555555556
1987,war_security_intel,13,11,36,1.1818181818181819,0.3611111111111111
1988,institutions_elections_law,2,5,14,0.4,0.14285714285714285
1988,labor_collective_action,1,5,14,0.2,0.07142857142857142
1988,migration_police_civilrights,3,5,14,0.6,0.21428571428571427
1988,war_security_intel,8,5,14,1.6,0.5714285714285714
1989,inequality_corruption_elites,1,8,16,0.125,0.0625
1989,migration_police_civilrights,9,8,16,1.125,0.5625
1989,war_security_intel,6,8,16,0.75,0.375
1990,inequality_corruption_elites,4,11,22,0.36363636363636365,0.18181818181818182
1990,institutions_elections_law,2,11,22,0.18181818181818182,0.09090909090909091
1990,labor_collective_action,1,11,22,0.09090909090909091,0.045454545454545456
1990,migration_police_civilrights,7,11,22,0.6363636363636364,0.3181818181818182
1990,war_security_intel,8,11,22,0.7272727272727273,0.36363636363636365
1991,economy_finance_crisis,3,11,23,0.2727272727272727,0.13043478260869565
1991,inequality_corruption_elites,1,11,23,0.09090909090909091,0.043478260869565216
1991,institutions_elections_law,9,11,23,0.8181818181818182,0.391304347826087
1991,migration_police_civilrights,4,11,23,0.36363636363636365,0.17391304347826086
1991,war_security_intel,6,11,23,0.5454545454545454,0.2608695652173913
1992,inequality_corruption_elites,1,10,23,0.1,0.043478260869565216
1992,institutions_elections_law,5,10,23,0.5,0.21739130434782608
1992,migration_police_civilrights,6,10,23,0.6,0.2608695652173913
1992,war_security_intel,11,10,23,1.1,0.4782608695652174
1993,institutions_elections_law,10,13,29,0.7692307692307693,0.3448275862068966
1993,labor_collective_action,2,13,29,0.15384615384615385,0.06896551724137931
1993,migration_police_civilrights,4,13,29,0.3076923076923077,0.13793103448275862
1993,war_security_intel,13,13,29,1.0,0.4482758620689655
1994,economy_finance_crisis,1,9,26,0.1111111111111111,0.038461538461538464
1994,institutions_elections_law,6,9,26,0.6666666666666666,0.23076923076923078
1994,labor_collective_action,1,9,26,0.1111111111111111,0.038461538461538464
1994,migration_police_civilrights,3,9,26,0.3333333333333333,0.11538461538461539
1994,war_security_intel,15,9,26,1.6666666666666667,0.5769230769230769
1995,economy_finance_crisis,2,8,18,0.25,0.1111111111111111
1995,migration_police_civilrights,5,8,18,0.625,0.2777777777777778
1995,war_security_intel,11,8,18,1.375,0.6111111111111112
1996,inequality_corruption_elites,1,13,38,0.07692307692307693,0.02631578947368421
1996,institutions_elections_law,8,13,38,0.6153846153846154,0.21052631578947367
1996,migration_police_civilrights,5,13,38,0.38461538461538464,0.13157894736842105
1996,war_security_intel,24,13,38,1.8461538461538463,0.631578947368421
1997,economy_finance_crisis,2,10,38,0.2,0.05263157894736842
1997,inequality_corruption_elites,1,10,38,0.1,0.02631578947368421
1997,institutions_elections_law,3,10,38,0.3,0.07894736842105263
1997,labor_collective_action,1,10,38,0.1,0.02631578947368421
1997,migration_police_civilrights,10,10,38,1.0,0.2631578947368421
1997,war_security_intel,21,10,38,2.1,0.5526315789473685
1998,economy_finance_crisis,2,11,31,0.18181818181818182,0.06451612903225806
1998,inequality_corruption_elites,1,11,31,0.09090909090909091,0.03225806451612903
1998,institutions_elections_law,3,11,31,0.2727272727272727,0.0967741935483871
1998,migration_police_civilrights,4,11,31,0.36363636363636365,0.12903225806451613
1998,war_security_intel,21,11,31,1.9090909090909092,0.6774193548387096
1999,economy_finance_crisis,5,10,15,0.5,0.3333333333333333
1999,institutions_elections_law,4,10,15,0.4,0.26666666666666666
1999,migration_police_civilrights,1,10,15,0.1,0.06666666666666667
1999,war_security_intel,5,10,15,0.5,0.3333333333333333
2000,economy_finance_crisis,1,10,16,0.1,0.0625
2000,institutions_elections_law,3,10,16,0.3,0.1875
2000,labor_collective_action,1,10,16,0.1,0.0625
2000,migration_police_civilrights,1,10,16,0.1,0.0625
2000,war_security_intel,10,10,16,1.0,0.625
2001,economy_finance_crisis,1,9,14,0.1111111111111111,0.07142857142857142
2001,institutions_elections_law,1,9,14,0.1111111111111111,0.07142857142857142
2001,labor_collective_action,1,9,14,0.1111111111111111,0.07142857142857142
2001,migration_police_civilrights,2,9,14,0.2222222222222222,0.14285714285714285
2001,war_security_intel,9,9,14,1.0,0.6428571428571429
2002,economy_finance_crisis,1,12,24,0.08333333333333333,0.041666666666666664
2002,institutions_elections_law,1,12,24,0.08333333333333333,0.041666666666666664
2002,labor_collective_action,1,12,24,0.08333333333333333,0.041666666666666664
2002,migration_police_civilrights,5,12,24,0.4166666666666667,0.20833333333333334
2002,war_security_intel,16,12,24,1.3333333333333333,0.6666666666666666
2003,inequality_corruption_elites,1,11,23,0.09090909090909091,0.043478260869565216
2003,institutions_elections_law,6,11,23,0.5454545454545454,0.2608695652173913
2003,migration_police_civilrights,2,11,23,0.18181818181818182,0.08695652173913043
2003,war_security_intel,14,11,23,1.2727272727272727,0.6086956521739131
2004,economy_finance_crisis,1,9,17,0.1111111111111111,0.058823529411764705
2004,inequality_corruption_elites,2,9,17,0.2222222222222222,0.11764705882352941
2004,institutions_elections_law,4,9,17,0.4444444444444444,0.23529411764705882
2004,migration_police_civilrights,2,9,17,0.2222222222222222,0.11764705882352941
2004,war_security_intel,8,9,17,0.8888888888888888,0.47058823529411764
2005,economy_finance_crisis,3,9,11,0.3333333333333333,0.2727272727272727
2005,institutions_elections_law,1,9,11,0.1111111111111111,0.09090909090909091
2005,labor_collective_action,1,9,11,0.1111111111111111,0.09090909090909091
2005,war_security_intel,6,9,11,0.6666666666666666,0.5454545454545454
2006,institutions_elections_law,1,6,10,0.16666666666666666,0.1
2006,labor_collective_action,1,6,10,0.16666666666666666,0.1
2006,migration_police_civilrights,3,6,10,0.5,0.3
2006,war_security_intel,5,6,10,0.8333333333333334,0.5
2007,inequality_corruption_elites,2,10,22,0.2,0.09090909090909091
2007,institutions_elections_law,5,10,22,0.5,0.22727272727272727
2007,labor_collective_action,2,10,22,0.2,0.09090909090909091
2007,migration_police_civilrights,4,10,22,0.4,0.18181818181818182
2007,war_security_intel,9,10,22,0.9,0.4090909090909091
2008,institutions_elections_law,1,6,7,0.16666666666666666,0.14285714285714285
2008,migration_police_civilrights,1,6,7,0.16666666666666666,0.14285714285714285
2008,war_security_intel,5,6,7,0.8333333333333334,0.7142857142857143
2009,inequality_corruption_elites,2,6,14,0.3333333333333333,0.14285714285714285
2009,institutions_elections_law,1,6,14,0.16666666666666666,0.07142857142857142
2009,migration_police_civilrights,1,6,14,0.16666666666666666,0.07142857142857142
2009,war_security_intel,10,6,14,1.6666666666666667,0.7142857142857143
2010,inequality_corruption_elites,1,8,9,0.125,0.1111111111111111
2010,migration_police_civilrights,1,8,9,0.125,0.1111111111111111
2010,war_security_intel,7,8,9,0.875,0.7777777777777778
2011,economy_finance_crisis,1,8,23,0.125,0.043478260869565216
2011,inequality_corruption_elites,1,8,23,0.125,0.043478260869565216
2011,institutions_elections_law,1,8,23,0.125,0.043478260869565216
2011,migration_police_civilrights,4,8,23,0.5,0.17391304347826086
2011,war_security_intel,16,8,23,2.0,0.6956521739130435
2012,labor_collective_action,2,9,15,0.2222222222222222,0.13333333333333333
2012,migration_police_civilrights,5,9,15,0.5555555555555556,0.3333333333333333
2012,war_security_intel,8,9,15,0.8888888888888888,0.5333333333333333
2013,economy_finance_crisis,2,10,18,0.2,0.1111111111111111
2013,inequality_corruption_elites,3,10,18,0.3,0.16666666666666666
2013,institutions_elections_law,2,10,18,0.2,0.1111111111111111
2013,labor_collective_action,1,10,18,0.1,0.05555555555555555
2013,war_security_intel,10,10,18,1.0,0.5555555555555556
2014,inequality_corruption_elites,1,11,15,0.09090909090909091,0.06666666666666667
2014,institutions_elections_law,2,11,15,0.18181818181818182,0.13333333333333333
2014,migration_police_civilrights,1,11,15,0.09090909090909091,0.06666666666666667
2014,war_security_intel,11,11,15,1.0,0.7333333333333333
2015,inequality_corruption_elites,1,7,8,0.14285714285714285,0.125
2015,labor_collective_action,1,7,8,0.14285714285714285,0.125
2015,war_security_intel,6,7,8,0.8571428571428571,0.75
2016,institutions_elections_law,1,6,8,0.16666666666666666,0.125
2016,migration_police_civilrights,3,6,8,0.5,0.375
2016,war_security_intel,4,6,8,0.6666666666666666,0.5
2017,migration_police_civilrights,1,5,12,0.2,0.08333333333333333
2017,war_security_intel,11,5,12,2.2,0.9166666666666666
2018,inequality_corruption_elites,1,5,7,0.2,0.14285714285714285
2018,migration_police_civilrights,1,5,7,0.2,0.14285714285714285
2018,war_security_intel,5,5,7,1.0,0.7142857142857143
2019,war_security_intel,6,4,6,1.5,1.0
2020,institutions_elections_law,1,7,21,0.14285714285714285,0.047619047619047616
2020,migration_police_civilrights,11,7,21,1.5714285714285714,0.5238095238095238
2020,war_security_intel,9,7,21,1.2857142857142858,0.42857142857142855
2021,economy_finance_crisis,2,7,13,0.2857142857142857,0.15384615384615385
2021,inequality_corruption_elites,1,7,13,0.14285714285714285,0.07692307692307693
2021,migration_police_civilrights,1,7,13,0.14285714285714285,0.07692307692307693
2021,war_security_intel,9,7,13,1.2857142857142858,0.6923076923076923
2022,inequality_corruption_elites,2,6,12,0.3333333333333333,0.16666666666666666
2022,institutions_elections_law,4,6,12,0.6666666666666666,0.3333333333333333
2022,migration_police_civilrights,2,6,12,0.3333333333333333,0.16666666666666666
2022,war_security_intel,4,6,12,0.6666666666666666,0.3333333333333333
2023,inequality_corruption_elites,1,3,6,0.3333333333333333,0.16666666666666666
2023,institutions_elections_law,1,3,6,0.3333333333333333,0.16666666666666666
2023,migration_police_civilrights,1,3,6,0.3333333333333333,0.16666666666666666
2023,war_security_intel,3,3,6,1.0,0.5
