keyword,count,matched_groups,primary_group
spanish_politics,25,institutions_elections_law,institutions_elections_law
lgbt_in_the_military,25,war_security_intel,war_security_intel
israeli_occupation,24,war_security_intel,war_security_intel
black_activist,24,labor_collective_action,labor_collective_action
slumber_party,24,institutions_elections_law,institutions_elections_law
political_intrigue,24,institutions_elections_law,institutions_elections_law
migrant,24,migration_police_civilrights,migration_police_civilrights
donbass_war,24,war_security_intel,war_security_intel
jewish_refugee,24,migration_police_civilrights,migration_police_civilrights
insurrection,24,labor_collective_action,labor_collective_action
civil_rights_movement,24,migration_police_civilrights,migration_police_civilrights
war_of_independence,24,war_security_intel,war_security_intel
balkan_war,24,war_security_intel,war_security_intel
immigration_law,23,institutions_elections_law;migration_police_civilrights,institutions_elections_law
stock_market_crash,23,economy_finance_crisis,economy_finance_crisis
battle_of_the_sexes,23,war_security_intel,war_security_intel
political_instability,23,institutions_elections_law,institutions_elections_law
presidential_campaign,23,institutions_elections_law,institutions_elections_law
war_zone,23,war_security_intel,war_security_intel
female_police_officer,23,migration_police_civilrights,migration_police_civilrights
nuclear_explosion,23,war_security_intel,war_security_intel
second_war,23,war_security_intel,war_security_intel
u.s._army,23,war_security_intel,war_security_intel
soviet_union_history,23,labor_collective_action,labor_collective_action
global_economy,23,economy_finance_crisis,economy_finance_crisis
child_labor,23,labor_collective_action,labor_collective_action
spy_spoof,23,war_security_intel,war_security_intel
nazi_war_criminal,23,war_security_intel,war_security_intel
post_war_germany,23,war_security_intel,war_security_intel
british_prime_minister,22,institutions_elections_law,institutions_elections_law
intelligence_agency,22,war_security_intel,war_security_intel
nuclear_testing,22,war_security_intel,war_security_intel
juvenile_prison,22,migration_police_civilrights,migration_police_civilrights
epic_battle,22,war_security_intel,war_security_intel
independance_war,22,war_security_intel,war_security_intel
sea_battle,22,war_security_intel,war_security_intel
japanese_occupation,22,war_security_intel,war_security_intel
women_in_prison,22,migration_police_civilrights,migration_police_civilrights
chinese_civil_war,22,war_security_intel,war_security_intel
campaign,22,institutions_elections_law,institutions_elections_law
blue_collar_worker,21,labor_collective_action,labor_collective_action
corporate_world,21,inequality_corruption_elites,inequality_corruption_elites
existential_crisis,21,economy_finance_crisis,economy_finance_crisis
prison_sentence,21,migration_police_civilrights,migration_police_civilrights
police_academy,21,migration_police_civilrights,migration_police_civilrights
russian_spy,21,war_security_intel,war_security_intel
chinese_immigrant,21,migration_police_civilrights,migration_police_civilrights
gwangju_uprising,21,labor_collective_action,labor_collective_action
union_of_myanmar_(burma),21,labor_collective_action,labor_collective_action
political_protest,21,institutions_elections_law;labor_collective_action,institutions_elections_law
supreme_court,20,institutions_elections_law,institutions_elections_law
drug_war,20,war_security_intel,war_security_intel
german_occupation_of_france,20,war_security_intel,war_security_intel
sexual_discrimination,20,migration_police_civilrights,migration_police_civilrights
political_leader,20,institutions_elections_law,institutions_elections_law
watergate_scandal,20,inequality_corruption_elites,inequality_corruption_elites
mayoral_election,20,institutions_elections_law,institutions_elections_law
zero_budget,20,economy_finance_crisis,economy_finance_crisis
american_soldiers,20,war_security_intel,war_security_intel
climate_crisis,20,economy_finance_crisis,economy_finance_crisis
domestic_terrorism,20,war_security_intel,war_security_intel
finance,20,economy_finance_crisis,economy_finance_crisis
war_refugees,20,war_security_intel;migration_police_civilrights,war_security_intel
law,20,institutions_elections_law,institutions_elections_law
revolutionary_war,20,war_security_intel,war_security_intel
costume_party,19,institutions_elections_law,institutions_elections_law
nuclear_threat,19,war_security_intel,war_security_intel
hostage_negotiator,19,war_security_intel,war_security_intel
prison_camp,19,migration_police_civilrights,migration_police_civilrights
military_academy,19,war_security_intel,war_security_intel
political_candidate,19,institutions_elections_law,institutions_elections_law
bribe,19,inequality_corruption_elites,inequality_corruption_elites
confederate_soldier,19,war_security_intel,war_security_intel
tough_cop,19,migration_police_civilrights,migration_police_civilrights
rookie_cop,19,migration_police_civilrights,migration_police_civilrights
future_war,19,war_security_intel,war_security_intel
tax_evasion,19,economy_finance_crisis,economy_finance_crisis
trans_activism,19,labor_collective_action,labor_collective_action
constitution,19,institutions_elections_law,institutions_elections_law
war_journalism,19,war_security_intel,war_security_intel
battle_royale,19,war_security_intel,war_security_intel
war_victim,19,war_security_intel,war_security_intel
nagorno-karabakh_war,19,war_security_intel,war_security_intel
lebanon_war,19,war_security_intel,war_security_intel
beach_party,19,institutions_elections_law,institutions_elections_law
world_war,19,war_security_intel,war_security_intel
frat_party,18,institutions_elections_law,institutions_elections_law
child_soldier,18,war_security_intel,war_security_intel
mid-life_crisis,18,economy_finance_crisis,economy_finance_crisis
russian_army,18,war_security_intel,war_security_intel
surprise_party,18,institutions_elections_law,institutions_elections_law
police_protection,18,migration_police_civilrights,migration_police_civilrights
voting,18,institutions_elections_law,institutions_elections_law
army_veteran,18,war_security_intel,war_security_intel
post_spanish_civil_war,18,war_security_intel,war_security_intel
lunatic_asylum,18,migration_police_civilrights,migration_police_civilrights
mortgage,18,economy_finance_crisis,economy_finance_crisis
radical_politics,18,institutions_elections_law,institutions_elections_law
post_civil_war,18,war_security_intel,war_security_intel
school_party,18,institutions_elections_law,institutions_elections_law
military_police,18,war_security_intel;migration_police_civilrights,war_security_intel
working_immigrants,18,migration_police_civilrights,migration_police_civilrights
national_intelligence_service_(nis),18,war_security_intel,war_security_intel
social_scandal,18,inequality_corruption_elites,inequality_corruption_elites
spy_ring,18,war_security_intel,war_security_intel
police_dog,18,migration_police_civilrights,migration_police_civilrights
military_school,18,war_security_intel,war_security_intel
indian_army,18,war_security_intel,war_security_intel
protest_march,17,labor_collective_action,labor_collective_action
segregation,17,migration_police_civilrights,migration_police_civilrights
trojan_war,17,war_security_intel,war_security_intel
cold_war_propaganda,17,war_security_intel,war_security_intel
corporate,17,inequality_corruption_elites,inequality_corruption_elites
police_arrest,17,migration_police_civilrights,migration_police_civilrights
cold_war_era,17,war_security_intel,war_security_intel
evil_dictator,17,institutions_elections_law,institutions_elections_law
legal_system,17,institutions_elections_law,institutions_elections_law
micro_budget,17,economy_finance_crisis,economy_finance_crisis
usa_election,17,institutions_elections_law,institutions_elections_law
war_injury,17,war_security_intel,war_security_intel
police_procedural,17,migration_police_civilrights,migration_police_civilrights
russian_war_crimes,17,war_security_intel,war_security_intel
economic_inequality,17,economy_finance_crisis;inequality_corruption_elites,economy_finance_crisis
working_class_people,17,labor_collective_action,labor_collective_action
political_persecution,17,institutions_elections_law,institutions_elections_law
prison_life,16,migration_police_civilrights,migration_police_civilrights
female_cop,16,migration_police_civilrights,migration_police_civilrights
war_memorial,16,war_security_intel,war_security_intel
italian_immigrant,16,migration_police_civilrights,migration_police_civilrights
family_crisis,16,economy_finance_crisis,economy_finance_crisis
forced_labour,16,labor_collective_action,labor_collective_action
rogue_cop,16,migration_police_civilrights,migration_police_civilrights
american_revolution,16,labor_collective_action,labor_collective_action
german_politics,16,institutions_elections_law,institutions_elections_law
late_stage_capitalism,16,inequality_corruption_elites,inequality_corruption_elites
recession,16,economy_finance_crisis,economy_finance_crisis
tax_collector,16,economy_finance_crisis,economy_finance_crisis
french_police,16,migration_police_civilrights,migration_police_civilrights
war_effort,16,war_security_intel,war_security_intel
military_spoof,16,war_security_intel,war_security_intel
secret_police,16,migration_police_civilrights,migration_police_civilrights
nuclear_waste,16,war_security_intel,war_security_intel
race_riot,16,labor_collective_action,labor_collective_action
chinese_communism,16,inequality_corruption_elites,inequality_corruption_elites
legal_battle,16,institutions_elections_law;war_security_intel,war_security_intel
dead_soldier,16,war_security_intel,war_security_intel
war_criminal,16,war_security_intel,war_security_intel
gender_inequality,16,inequality_corruption_elites,inequality_corruption_elites
economic_problems,16,economy_finance_crisis,economy_finance_crisis
communist_china,16,inequality_corruption_elites,inequality_corruption_elites
assassination_of_president,15,institutions_elections_law,institutions_elections_law
congress,15,institutions_elections_law,institutions_elections_law
war_crime,15,war_security_intel,war_security_intel
super_soldier,15,war_security_intel,war_security_intel
office_politics,15,institutions_elections_law,institutions_elections_law
prison_brutality,15,migration_police_civilrights,migration_police_civilrights
post_nuclear,15,war_security_intel,war_security_intel
high_tech_surveillance,15,war_security_intel,war_security_intel
government_official,15,institutions_elections_law,institutions_elections_law
torturing_police,15,migration_police_civilrights,migration_police_civilrights
political_negotiations,15,institutions_elections_law,institutions_elections_law
prison_visit,15,migration_police_civilrights,migration_police_civilrights
foreclosure,15,economy_finance_crisis,economy_finance_crisis
ex_military,15,war_security_intel,war_security_intel
liberation_war,15,war_security_intel,war_security_intel
police_violence,15,migration_police_civilrights,migration_police_civilrights
battle_of_the_bulge,15,war_security_intel,war_security_intel
foreign_worker,15,labor_collective_action,labor_collective_action
ukrainian_politics,15,institutions_elections_law,institutions_elections_law
monopoly,15,inequality_corruption_elites,inequality_corruption_elites
fall_of_communism,15,inequality_corruption_elites,inequality_corruption_elites
proxy_battle,15,war_security_intel,war_security_intel
political_humor,15,institutions_elections_law,institutions_elections_law
jeju_uprising,15,labor_collective_action,labor_collective_action
