keyword,count,matched_groups
fraud,148,inequality_corruption_elites
election,147,institutions_elections_law
socialism,146,inequality_corruption_elites
birthday_party,143,institutions_elections_law
communist,143,inequality_corruption_elites
scandal,142,inequality_corruption_elites
war_crimes,141,war_security_intel
police_investigation,141,migration_police_civilrights
undercover_cop,133,migration_police_civilrights
prisoner_of_war,131,war_security_intel
dictatorship,131,institutions_elections_law
bank_robber,130,economy_finance_crisis
sex_worker,129,labor_collective_action
veteran,127,war_security_intel
economics,125,economy_finance_crisis
court,124,institutions_elections_law
us_army,123,war_security_intel
no_budget,120,economy_finance_crisis
court_case,119,institutions_elections_law
great_depression,118,economy_finance_crisis
presidential_election,118,institutions_elections_law
election_campaign,118,institutions_elections_law
buddy_cop,117,migration_police_civilrights
asylum,116,migration_police_civilrights
algerian_war_(1954-62),115,war_security_intel
labor_union,114,labor_collective_action
democracy,114,institutions_elections_law
american_civil_war,109,war_security_intel
gang_war,107,war_security_intel
factory_worker,105,labor_collective_action
political_corruption,105,institutions_elections_law;inequality_corruption_elites
invasion,104,war_security_intel
worker,103,labor_collective_action
illegal_immigration,102,migration_police_civilrights
midlife_crisis,102,economy_finance_crisis
house_party,101,institutions_elections_law
discrimination,100,migration_police_civilrights
military_dictatorship,98,institutions_elections_law;war_security_intel
identity_crisis,98,economy_finance_crisis
franco_regime_(francoism),97,institutions_elections_law
political,95,institutions_elections_law
russian_invasion_of_ukraine,92,war_security_intel
post_war,91,war_security_intel
economy,91,economy_finance_crisis
strike,90,labor_collective_action
war_propaganda,90,war_security_intel
iraq_war,89,war_security_intel
border,89,migration_police_civilrights
french_revolution,86,labor_collective_action
political_repression,85,institutions_elections_law
apartheid,84,migration_police_civilrights
british_army,82,war_security_intel
christmas_party,80,institutions_elections_law
nazi_occupation,80,war_security_intel
coup_d'etat,79,labor_collective_action
russo-ukrainian_war,79,war_security_intel
court_métrage,79,institutions_elections_law
financial_crisis,78,economy_finance_crisis
combat,77,war_security_intel
riot,77,labor_collective_action
anti_war,76,war_security_intel
government_conspiracy,76,institutions_elections_law
usa_politics,75,institutions_elections_law
russian_revolution_(1917),74,labor_collective_action
police_chase,74,migration_police_civilrights
guerrilla_warfare,74,war_security_intel
sahrawi_refugee_camps,73,migration_police_civilrights
gambling_debt,72,economy_finance_crisis
japanese_occupation_of_korea,72,war_security_intel
political_thriller,71,institutions_elections_law
deportation,71,migration_police_civilrights
insane_asylum,71,migration_police_civilrights
terrorist_attack,71,war_security_intel
refugee_camp,71,migration_police_civilrights
bureaucracy,71,institutions_elections_law
release_from_prison,71,migration_police_civilrights
crisis,70,economy_finance_crisis
political_assassination,69,institutions_elections_law
dictator,69,institutions_elections_law
video_surveillance,69,war_security_intel
bosnian_war_(1992-95),68,war_security_intel
nuclear_war,67,war_security_intel
social_worker,67,labor_collective_action
dirty_cop,67,migration_police_civilrights
prison_break,67,migration_police_civilrights
labor_strike,66,labor_collective_action
military_service,66,war_security_intel
construction_worker,66,labor_collective_action
kgb,65,war_security_intel
war_on_drugs,65,war_security_intel
royal_canadian_mounted_police_(mountie),64,migration_police_civilrights
minister,64,institutions_elections_law
one_man_army,64,war_security_intel
labor,63,labor_collective_action
secret_service,62,war_security_intel
undocumented_immigrant,62,migration_police_civilrights
dinner_party,61,institutions_elections_law
demonstration,61,labor_collective_action
eta_terrorist_group,61,war_security_intel
wall_street,60,economy_finance_crisis
billionaire,60,inequality_corruption_elites
activist,60,labor_collective_action
female_spy,60,war_security_intel
mexican_revolution,58,labor_collective_action
nuclear,58,war_security_intel
racial_segregation,58,migration_police_civilrights
halloween_party,57,institutions_elections_law
space_war,55,war_security_intel
usa–mexico_border,55,migration_police_civilrights
corporation,55,inequality_corruption_elites
police_station,55,migration_police_civilrights
climate_change_activism,55,labor_collective_action
soldiers,54,war_security_intel
nuclear_power_plant,54,war_security_intel
cuban_revolution,54,labor_collective_action
intelligence,53,war_security_intel
economic_crisis,53,economy_finance_crisis
war_documentary,53,war_security_intel
nuclear_radiation,52,war_security_intel
military_officer,52,war_security_intel
hostage_situation,52,war_security_intel
us_military,51,war_security_intel
police_inspector,51,migration_police_civilrights
new_york_state,51,institutions_elections_law
race_politics,51,institutions_elections_law
bank_heist,51,economy_finance_crisis
war_hero,51,war_security_intel
nuclear_weapons,50,war_security_intel
afghanistan_war_(2001-_),50,war_security_intel
state_crimes,49,institutions_elections_law
migrant_worker,49,labor_collective_action;migration_police_civilrights
