keyword,count,matched_groups
fraud,148,inequality_corruption_elites
election,147,institutions_elections_law
socialism,146,inequality_corruption_elites
birthday_party,143,institutions_elections_law
communist,143,inequality_corruption_elites
scandal,142,inequality_corruption_elites
war_crimes,141,war_security_intel
police_investigation,141,migration_police_civilrights
undercover_cop,133,migration_police_civilrights
prisoner_of_war,131,war_security_intel
dictatorship,131,institutions_elections_law
bank_robber,130,economy_finance_crisis
sex_worker,129,labor_collective_action
veteran,127,war_security_intel
economics,125,economy_finance_crisis
court,124,institutions_elections_law
us_army,123,war_security_intel
no_budget,120,economy_finance_crisis
court_case,119,institutions_elections_law
great_depression,118,economy_finance_crisis
presidential_election,118,institutions_elections_law
election_campaign,118,institutions_elections_law
buddy_cop,117,migration_police_civilrights
asylum,116,migration_police_civilrights
algerian_war_(1954-62),115,war_security_intel
labor_union,114,labor_collective_action
democracy,114,institutions_elections_law
american_civil_war,109,war_security_intel
gang_war,107,war_security_intel
factory_worker,105,labor_collective_action
political_corruption,105,institutions_elections_law;inequality_corruption_elites
invasion,104,war_security_intel
worker,103,labor_collective_action
illegal_immigration,102,migration_police_civilrights
midlife_crisis,102,economy_finance_crisis
house_party,101,institutions_elections_law
discrimination,100,migration_police_civilrights
military_dictatorship,98,institutions_elections_law;war_security_intel
identity_crisis,98,economy_finance_crisis
franco_regime_(francoism),97,institutions_elections_law
political,95,institutions_elections_law
russian_invasion_of_ukraine,92,war_security_intel
post_war,91,war_security_intel
economy,91,economy_finance_crisis
strike,90,labor_collective_action
war_propaganda,90,war_security_intel
iraq_war,89,war_security_intel
border,89,migration_police_civilrights
french_revolution,86,labor_collective_action
political_repression,85,institutions_elections_law
apartheid,84,migration_police_civilrights
british_army,82,war_security_intel
christmas_party,80,institutions_elections_law
nazi_occupation,80,war_security_intel
coup_d'etat,79,labor_collective_action
russo-ukrainian_war,79,war_security_intel
court_métrage,79,institutions_elections_law
financial_crisis,78,economy_finance_crisis
combat,77,war_security_intel
riot,77,labor_collective_action
anti_war,76,war_security_intel
government_conspiracy,76,institutions_elections_law
usa_politics,75,institutions_elections_law
russian_revolution_(1917),74,labor_collective_action
police_chase,74,migration_police_civilrights
guerrilla_warfare,74,war_security_intel
sahrawi_refugee_camps,73,migration_police_civilrights
gambling_debt,72,economy_finance_crisis
japanese_occupation_of_korea,72,war_security_intel
political_thriller,71,institutions_elections_law
deportation,71,migration_police_civilrights
insane_asylum,71,migration_police_civilrights
terrorist_attack,71,war_security_intel
refugee_camp,71,migration_police_civilrights
bureaucracy,71,institutions_elections_law
release_from_prison,71,migration_police_civilrights
crisis,70,economy_finance_crisis
political_assassination,69,institutions_elections_law
dictator,69,institutions_elections_law
video_surveillance,69,war_security_intel
bosnian_war_(1992-95),68,war_security_intel
nuclear_war,67,war_security_intel
social_worker,67,labor_collective_action
dirty_cop,67,migration_police_civilrights
prison_break,67,migration_police_civilrights
labor_strike,66,labor_collective_action
military_service,66,war_security_intel
construction_worker,66,labor_collective_action
kgb,65,war_security_intel
war_on_drugs,65,war_security_intel
royal_canadian_mounted_police_(mountie),64,migration_police_civilrights
minister,64,institutions_elections_law
one_man_army,64,war_security_intel
labor,63,labor_collective_action
secret_service,62,war_security_intel
undocumented_immigrant,62,migration_police_civilrights
dinner_party,61,institutions_elections_law
demonstration,61,labor_collective_action
eta_terrorist_group,61,war_security_intel
wall_street,60,economy_finance_crisis
billionaire,60,inequality_corruption_elites
activist,60,labor_collective_action
female_spy,60,war_security_intel
mexican_revolution,58,labor_collective_action
nuclear,58,war_security_intel
racial_segregation,58,migration_police_civilrights
halloween_party,57,institutions_elections_law
space_war,55,war_security_intel
usa–mexico_border,55,migration_police_civilrights
corporation,55,inequality_corruption_elites
police_station,55,migration_police_civilrights
climate_change_activism,55,labor_collective_action
soldiers,54,war_security_intel
nuclear_power_plant,54,war_security_intel
cuban_revolution,54,labor_collective_action
intelligence,53,war_security_intel
economic_crisis,53,economy_finance_crisis
war_documentary,53,war_security_intel
nuclear_radiation,52,war_security_intel
military_officer,52,war_security_intel
hostage_situation,52,war_security_intel
us_military,51,war_security_intel
police_inspector,51,migration_police_civilrights
new_york_state,51,institutions_elections_law
race_politics,51,institutions_elections_law
bank_heist,51,economy_finance_crisis
war_hero,51,war_security_intel
nuclear_weapons,50,war_security_intel
afghanistan_war_(2001-_),50,war_security_intel
state_crimes,49,institutions_elections_law
migrant_worker,49,labor_collective_action;migration_police_civilrights
police_operation,49,migration_police_civilrights
banking,49,economy_finance_crisis
prison_cell,48,migration_police_civilrights
uprising,48,labor_collective_action
racist,48,migration_police_civilrights
space_battle,48,war_security_intel
pacific_war,48,war_security_intel
loan_shark,48,economy_finance_crisis
murder_trial,48,institutions_elections_law
gun_battle,47,war_security_intel
mental_asylum,47,migration_police_civilrights
communist_propaganda,47,inequality_corruption_elites
social_activism,47,labor_collective_action
embezzlement,46,inequality_corruption_elites
military_history,46,war_security_intel
police_chief,46,migration_police_civilrights
hand_to_hand_combat,46,war_security_intel
war_on_terror,45,war_security_intel
spy_thriller,45,war_security_intel
stock_market,45,economy_finance_crisis
psychological_terror,45,war_security_intel
korean_army,45,war_security_intel
syrian_refugee,45,migration_police_civilrights
prison_guard,44,migration_police_civilrights
washington_state,44,institutions_elections_law
fictional_war,44,war_security_intel
fbi_agent,44,war_security_intel
student_protest,44,labor_collective_action
political_party,43,institutions_elections_law
nuclear_power,43,war_security_intel
feminist_activism,43,labor_collective_action
cultural_revolution,43,labor_collective_action
political_activist,43,institutions_elections_law;labor_collective_action
crisis_of_faith,43,economy_finance_crisis
terrorist_group,42,war_security_intel
insurance_fraud,42,inequality_corruption_elites
military_base,42,war_security_intel
national_socialism,41,inequality_corruption_elites
u.s._soldier,41,war_security_intel
social_class,41,inequality_corruption_elites
post_war_japan,41,war_security_intel
german_occupation,40,war_security_intel
queer_activism,40,labor_collective_action
lgbt_activism,40,labor_collective_action
political_campaign,40,institutions_elections_law
street_riots,40,labor_collective_action
money_laundering,40,inequality_corruption_elites
legal_drama,40,institutions_elections_law
government_corruption,39,institutions_elections_law;inequality_corruption_elites
refugees,39,migration_police_civilrights
immigrant_family,39,migration_police_civilrights
european_union,39,labor_collective_action
union,39,labor_collective_action
environmental_activist,39,labor_collective_action
totalitarian_regime,39,institutions_elections_law
bribery,39,inequality_corruption_elites
ex_soldier,39,war_security_intel
war_correspondent,39,war_security_intel
nuclear_missile,39,war_security_intel
nuclear_bomb,38,war_security_intel
immigrant_experience,38,migration_police_civilrights
british_secret_service,37,war_security_intel
incarceration,37,migration_police_civilrights
military_veteran,37,war_security_intel
border_patrol,37,migration_police_civilrights
lgbt_activist,37,labor_collective_action
occupation,37,war_security_intel
legal_thriller,36,institutions_elections_law
great_patriotic_war,36,war_security_intel
brazilian_politics,36,institutions_elections_law
custody_battle,36,war_security_intel
black_panther_party,36,institutions_elections_law
taxes,36,economy_finance_crisis
gulf_war,35,war_security_intel
nazi_spy,35,war_security_intel
political_scandal,35,institutions_elections_law;inequality_corruption_elites
police_interrogation,35,migration_police_civilrights
martial_law,35,institutions_elections_law
communist_party,35,institutions_elections_law;inequality_corruption_elites
financial_problem,35,economy_finance_crisis
iraq_war_veteran,35,war_security_intel
bachelor_party,35,institutions_elections_law
war_photographer,35,war_security_intel
prime_minister,35,institutions_elections_law
korea_president,34,institutions_elections_law
trade_union,34,labor_collective_action
refugee_crisis,34,economy_finance_crisis;migration_police_civilrights
police_shootout,34,migration_police_civilrights
terrorist_plot,34,war_security_intel
space_invasion,34,war_security_intel
british_politics,33,institutions_elections_law
alcatraz_prison,33,migration_police_civilrights
farm_worker,33,labor_collective_action
falklands_war,33,war_security_intel
racial_discrimination,33,migration_police_civilrights
asylum_seekers,32,migration_police_civilrights
corporate_greed,32,inequality_corruption_elites
bad_cop,32,migration_police_civilrights
nuclear_holocaust,32,war_security_intel
loan,32,economy_finance_crisis
debt_collector,32,economy_finance_crisis
sex_scandal,32,inequality_corruption_elites
missile,31,war_security_intel
sex_party,31,institutions_elections_law
border_crossing,31,migration_police_civilrights
sexual_revolution,31,labor_collective_action
military_training,30,war_security_intel
low_budget_film,30,economy_finance_crisis
veterans,30,war_security_intel
military_aviation,30,war_security_intel
rave_party,30,institutions_elections_law
post_world_war_i,30,war_security_intel
british_spy,30,war_security_intel
inequality,30,inequality_corruption_elites
corrupt_cop,30,migration_police_civilrights
war_trauma,30,war_security_intel
japanese_army,30,war_security_intel
evil_corporation,30,inequality_corruption_elites
migrants,29,migration_police_civilrights
war_in_ukraine,29,war_security_intel
mexican_border,29,migration_police_civilrights
housing_crisis,29,economy_finance_crisis
aerial_combat,29,war_security_intel
female_soldier,29,war_security_intel
police_raid,29,migration_police_civilrights
pool_party,29,institutions_elections_law
government_cover-up,29,institutions_elections_law
political_unrest,28,institutions_elections_law
slovak_national_uprising_(1944),28,labor_collective_action
political_history,28,institutions_elections_law
nuclear_catastrophe,28,war_security_intel
russian_politics,28,institutions_elections_law
eve_of_world_war_ii,28,war_security_intel
japanese_occupation_of_china,28,war_security_intel
bachelorette_party,28,institutions_elections_law
held_hostage,28,war_security_intel
prison_warden,28,migration_police_civilrights
soviet_military,28,war_security_intel
police_officer_killed,28,migration_police_civilrights
government_agent,28,institutions_elections_law
terrorist_bombing,28,war_security_intel
political_prisoner,27,institutions_elections_law
syrian_civil_war,27,war_security_intel
left_politics,27,institutions_elections_law
nuclear_fallout,27,war_security_intel
labor_rights,27,labor_collective_action
german_soldier,27,war_security_intel
law_student,27,institutions_elections_law
court_martial,27,institutions_elections_law
wedding_party,27,institutions_elections_law
child_labour,27,labor_collective_action
pinochet_regime,26,institutions_elections_law
french_politics,26,institutions_elections_law
range_war,26,war_security_intel
workers_union,26,labor_collective_action
japanese_invasion_of_korea,26,war_security_intel
military_coup,26,war_security_intel;labor_collective_action
power_politics,26,institutions_elections_law
parliament,26,institutions_elections_law
war_ship,26,war_security_intel
prison_riot,26,labor_collective_action;migration_police_civilrights
british_soldier,26,war_security_intel
law_enforcement,26,institutions_elections_law;migration_police_civilrights
police_state,26,institutions_elections_law;migration_police_civilrights
secret_intelligence_service,26,war_security_intel
world_war_iii,26,war_security_intel
red_army,26,war_security_intel
royal_court,25,institutions_elections_law
spanish_politics,25,institutions_elections_law
lgbt_in_the_military,25,war_security_intel
second_sino-japanese_war_(1937-45),25,war_security_intel
cops,25,migration_police_civilrights
surveillance_camera,25,war_security_intel
civil_rights_movement,24,migration_police_civilrights
israeli_occupation,24,war_security_intel
jewish_refugee,24,migration_police_civilrights
war_of_independence,24,war_security_intel
donbass_war,24,war_security_intel
political_intrigue,24,institutions_elections_law
balkan_war,24,war_security_intel
insurrection,24,labor_collective_action
black_activist,24,labor_collective_action
slumber_party,24,institutions_elections_law
migrant,24,migration_police_civilrights
global_economy,23,economy_finance_crisis
second_war,23,war_security_intel
u.s._army,23,war_security_intel
soviet_union_history,23,labor_collective_action
spy_spoof,23,war_security_intel
post_war_germany,23,war_security_intel
nazi_war_criminal,23,war_security_intel
child_labor,23,labor_collective_action
political_instability,23,institutions_elections_law
presidential_campaign,23,institutions_elections_law
stock_market_crash,23,economy_finance_crisis
battle_of_the_sexes,23,war_security_intel
war_zone,23,war_security_intel
immigration_law,23,institutions_elections_law;migration_police_civilrights
nuclear_explosion,23,war_security_intel
female_police_officer,23,migration_police_civilrights
nuclear_testing,22,war_security_intel
japanese_occupation,22,war_security_intel
women_in_prison,22,migration_police_civilrights
chinese_civil_war,22,war_security_intel
independance_war,22,war_security_intel
campaign,22,institutions_elections_law
intelligence_agency,22,war_security_intel
british_prime_minister,22,institutions_elections_law
sea_battle,22,war_security_intel
epic_battle,22,war_security_intel
juvenile_prison,22,migration_police_civilrights
prison_sentence,21,migration_police_civilrights
union_of_myanmar_(burma),21,labor_collective_action
political_protest,21,institutions_elections_law;labor_collective_action
gwangju_uprising,21,labor_collective_action
existential_crisis,21,economy_finance_crisis
blue_collar_worker,21,labor_collective_action
corporate_world,21,inequality_corruption_elites
chinese_immigrant,21,migration_police_civilrights
russian_spy,21,war_security_intel
police_academy,21,migration_police_civilrights
climate_crisis,20,economy_finance_crisis
finance,20,economy_finance_crisis
supreme_court,20,institutions_elections_law
war_refugees,20,war_security_intel;migration_police_civilrights
law,20,institutions_elections_law
zero_budget,20,economy_finance_crisis
domestic_terrorism,20,war_security_intel
watergate_scandal,20,inequality_corruption_elites
sexual_discrimination,20,migration_police_civilrights
american_soldiers,20,war_security_intel
revolutionary_war,20,war_security_intel
mayoral_election,20,institutions_elections_law
drug_war,20,war_security_intel
german_occupation_of_france,20,war_security_intel
political_leader,20,institutions_elections_law
constitution,19,institutions_elections_law
war_journalism,19,war_security_intel
battle_royale,19,war_security_intel
war_victim,19,war_security_intel
nagorno-karabakh_war,19,war_security_intel
beach_party,19,institutions_elections_law
lebanon_war,19,war_security_intel
trans_activism,19,labor_collective_action
costume_party,19,institutions_elections_law
confederate_soldier,19,war_security_intel
military_academy,19,war_security_intel
political_candidate,19,institutions_elections_law
world_war,19,war_security_intel
future_war,19,war_security_intel
hostage_negotiator,19,war_security_intel
nuclear_threat,19,war_security_intel
rookie_cop,19,migration_police_civilrights
tough_cop,19,migration_police_civilrights
tax_evasion,19,economy_finance_crisis
prison_camp,19,migration_police_civilrights
bribe,19,inequality_corruption_elites
mid-life_crisis,18,economy_finance_crisis
working_immigrants,18,migration_police_civilrights
indian_army,18,war_security_intel
radical_politics,18,institutions_elections_law
spy_ring,18,war_security_intel
social_scandal,18,inequality_corruption_elites
national_intelligence_service_(nis),18,war_security_intel
police_dog,18,migration_police_civilrights
police_protection,18,migration_police_civilrights
surprise_party,18,institutions_elections_law
voting,18,institutions_elections_law
frat_party,18,institutions_elections_law
child_soldier,18,war_security_intel
military_school,18,war_security_intel
military_police,18,war_security_intel;migration_police_civilrights
school_party,18,institutions_elections_law
mortgage,18,economy_finance_crisis
lunatic_asylum,18,migration_police_civilrights
post_spanish_civil_war,18,war_security_intel
army_veteran,18,war_security_intel
russian_army,18,war_security_intel
post_civil_war,18,war_security_intel
russian_war_crimes,17,war_security_intel
legal_system,17,institutions_elections_law
economic_inequality,17,economy_finance_crisis;inequality_corruption_elites
police_procedural,17,migration_police_civilrights
working_class_people,17,labor_collective_action
micro_budget,17,economy_finance_crisis
cold_war_propaganda,17,war_security_intel
usa_election,17,institutions_elections_law
cold_war_era,17,war_security_intel
war_injury,17,war_security_intel
police_arrest,17,migration_police_civilrights
protest_march,17,labor_collective_action
corporate,17,inequality_corruption_elites
trojan_war,17,war_security_intel
evil_dictator,17,institutions_elections_law
segregation,17,migration_police_civilrights
political_persecution,17,institutions_elections_law
communist_china,16,inequality_corruption_elites
war_criminal,16,war_security_intel
nuclear_waste,16,war_security_intel
chinese_communism,16,inequality_corruption_elites
legal_battle,16,institutions_elections_law;war_security_intel
german_politics,16,institutions_elections_law
economic_problems,16,economy_finance_crisis
secret_police,16,migration_police_civilrights
dead_soldier,16,war_security_intel
war_effort,16,war_security_intel
gender_inequality,16,inequality_corruption_elites
military_spoof,16,war_security_intel
race_riot,16,labor_collective_action
prison_life,16,migration_police_civilrights
american_revolution,16,labor_collective_action
rogue_cop,16,migration_police_civilrights
war_memorial,16,war_security_intel
tax_collector,16,economy_finance_crisis
female_cop,16,migration_police_civilrights
french_police,16,migration_police_civilrights
recession,16,economy_finance_crisis
late_stage_capitalism,16,inequality_corruption_elites
forced_labour,16,labor_collective_action
family_crisis,16,economy_finance_crisis
italian_immigrant,16,migration_police_civilrights
political_propaganda,15,institutions_elections_law
political_humor,15,institutions_elections_law
battle_of_the_bulge,15,war_security_intel
proxy_battle,15,war_security_intel
fall_of_communism,15,inequality_corruption_elites
foreign_worker,15,labor_collective_action
state_visit,15,institutions_elections_law
german_army,15,war_security_intel
police_violence,15,migration_police_civilrights
liberation_war,15,war_security_intel
jeju_uprising,15,labor_collective_action
second_world_war,15,war_security_intel
bank_employee,15,economy_finance_crisis
ukrainian_politics,15,institutions_elections_law
torturing_police,15,migration_police_civilrights
monopoly,15,inequality_corruption_elites
prison_visit,15,migration_police_civilrights
high_tech_surveillance,15,war_security_intel
ex_military,15,war_security_intel
foreclosure,15,economy_finance_crisis
war_crime,15,war_security_intel
government_official,15,institutions_elections_law
congress,15,institutions_elections_law
post_nuclear,15,war_security_intel
super_soldier,15,war_security_intel
political_negotiations,15,institutions_elections_law
assassination_of_president,15,institutions_elections_law
prison_brutality,15,migration_police_civilrights
office_politics,15,institutions_elections_law
salvation_army,14,war_security_intel
global_politics,14,institutions_elections_law
jury_trial,14,institutions_elections_law
political_debate,14,institutions_elections_law
class_warfare,14,inequality_corruption_elites
law_and_ethics,14,institutions_elections_law
russian_soldier,14,war_security_intel
office_worker,14,labor_collective_action
german-german_border,14,migration_police_civilrights
latin_american_immigration,14,migration_police_civilrights
battle_of_britain,14,war_security_intel
inflation,14,economy_finance_crisis
continuation_war,14,war_security_intel
canadian_army,14,war_security_intel
systemic_corruption,14,inequality_corruption_elites
iranian_revolution,14,labor_collective_action
communism_crimes,14,inequality_corruption_elites
social_politics,14,institutions_elections_law
police_vigilantism,14,migration_police_civilrights
us_republican_party,14,institutions_elections_law
street_war,14,war_security_intel
wounded_soldier,14,war_security_intel
french_army,14,war_security_intel
senate,14,institutions_elections_law
nuclear_submarine,14,war_security_intel
good_cop_bad_cop,14,migration_police_civilrights
eco_terrorism,14,war_security_intel
capitalist,14,inequality_corruption_elites
vichy_regime,14,institutions_elections_law
u.s._congress,14,institutions_elections_law
bank_teller,14,economy_finance_crisis
police_department,14,migration_police_civilrights
industrial_revolution,14,labor_collective_action
u.s._secret_service_agent,14,war_security_intel
naval_battle,14,war_security_intel
postal_worker,14,labor_collective_action
military_life,14,war_security_intel
creative_crisis,14,economy_finance_crisis
wild_party,14,institutions_elections_law
miners_strike,14,labor_collective_action
election_fraud,13,institutions_elections_law;inequality_corruption_elites
criminal_trial,13,institutions_elections_law
poverty_row,13,inequality_corruption_elites
local_politics,13,institutions_elections_law
anti-globalisation_activist,13,labor_collective_action
immigrant_life,13,migration_police_civilrights
workers,13,labor_collective_action
italian_politics,13,institutions_elections_law
guerilla_army,13,war_security_intel
space_police,13,migration_police_civilrights
french_racism,13,migration_police_civilrights
hyper_battle_video,13,war_security_intel
political_conflict,13,institutions_elections_law
army_life,13,war_security_intel
women_in_the_military,13,war_security_intel
gallipoli_campaign,13,institutions_elections_law
narcotics_cop,13,migration_police_civilrights
postpartum_depression,13,economy_finance_crisis
surveillance_state,13,institutions_elections_law;war_security_intel;migration_police_civilrights
law_school,13,institutions_elections_law
slave_labor,13,labor_collective_action
arbitrary_law,13,institutions_elections_law
search_party,13,institutions_elections_law
credit_card,13,economy_finance_crisis
civil_war_veteran,13,war_security_intel
investment,13,economy_finance_crisis
police_everyday_life,13,migration_police_civilrights
steel_worker,13,labor_collective_action
personal_crisis,12,economy_finance_crisis
nazi_invasion,12,war_security_intel
prison_release,12,migration_police_civilrights
political_correctness,12,institutions_elections_law
racist_stereotype,12,migration_police_civilrights
crooked_cop,12,migration_police_civilrights
post_soviet_union,12,labor_collective_action
prison_reform,12,migration_police_civilrights
soviet_spy,12,war_security_intel
italian_occupation,12,war_security_intel
social_democracy,12,institutions_elections_law
migrant_farmworker,12,migration_police_civilrights
nuclear_accidents,12,war_security_intel
nuclear_disaster,12,war_security_intel
war_widow,12,war_security_intel
advertising_campaign,12,institutions_elections_law
secret_government_organization,12,institutions_elections_law
bank_manager,12,economy_finance_crisis
financial_transactions,12,economy_finance_crisis
gender_discrimination,12,migration_police_civilrights
police_surveillance,12,war_security_intel;migration_police_civilrights
army_base,12,war_security_intel
police_headquarter,12,migration_police_civilrights
anti_terror,12,war_security_intel
tax_inspector,12,economy_finance_crisis
big_corporation,12,inequality_corruption_elites
member_of_parliament,11,institutions_elections_law
indochina_war,11,war_security_intel
english_civil_war,11,war_security_intel
democratic_party,11,institutions_elections_law
boer_war,11,war_security_intel
war_child,11,war_security_intel
prison_system,11,migration_police_civilrights
identity_politics,11,institutions_elections_law
financial,11,economy_finance_crisis
war_bride,11,war_security_intel
west_bank_(cisjordan),11,economy_finance_crisis
nuclear_reactor,11,war_security_intel
big_business,11,inequality_corruption_elites
post_war_life,11,war_security_intel
war_of_1812,11,war_security_intel
bank_robbery_attempt,11,economy_finance_crisis
mine_worker,11,labor_collective_action
human_rights_protest,11,labor_collective_action;migration_police_civilrights
spiritual_crisis,11,economy_finance_crisis
rap_battle,11,war_security_intel
russian_civil_war_(1918-21),11,war_security_intel
popular_uprising,11,labor_collective_action
traffic_cop,11,migration_police_civilrights
maverick_cop,11,migration_police_civilrights
police_training,11,migration_police_civilrights
european_refugee_crisis,11,economy_finance_crisis;migration_police_civilrights
corporate_conspiracy,11,inequality_corruption_elites
empire_state_building,11,institutions_elections_law
corrupt_judge,11,institutions_elections_law
tea_party,11,institutions_elections_law
law_firm,11,institutions_elections_law
bank_vault,11,economy_finance_crisis
military_court,11,institutions_elections_law;war_security_intel
island_prison,11,migration_police_civilrights
cops_and_robbers,11,migration_police_civilrights
state_of_emergency,11,institutions_elections_law
political_incompetence,11,institutions_elections_law
british_intelligence,11,war_security_intel
nuclear_scientist,11,war_security_intel
war_dog,11,war_security_intel
iran-iraq_war,11,war_security_intel
battle_for_power,11,war_security_intel
mayoral_campaign,11,institutions_elections_law
one_woman_army,11,war_security_intel
land_war,10,war_security_intel
asian_racism,10,migration_police_civilrights
political_allegory,10,institutions_elections_law
stonewall_riot,10,labor_collective_action
sexual_politics,10,institutions_elections_law
italian_immigration,10,migration_police_civilrights
afghanistan_veteran,10,war_security_intel
female_revolution,10,labor_collective_action
political_rally,10,institutions_elections_law
louisiana_state_penitentiary,10,institutions_elections_law
class_discrimination,10,migration_police_civilrights
war_orphan,10,war_security_intel
rural_poverty,10,inequality_corruption_elites
privatization,10,economy_finance_crisis
war_in_europe,10,war_security_intel
children_on_war,10,war_security_intel
afghan-soviet_war_(1979-89),10,war_security_intel
french_immigration,10,migration_police_civilrights
ukrainian_revolution,10,labor_collective_action
warsaw_uprising,10,labor_collective_action
casualty_of_war,10,war_security_intel
republican_party,10,institutions_elections_law
financial_fraud,10,economy_finance_crisis;inequality_corruption_elites
military_operation,10,war_security_intel
bank_clerk,10,economy_finance_crisis
cuban_missile_crisis,10,war_security_intel;economy_finance_crisis
robot_cop,10,migration_police_civilrights
police_force,10,migration_police_civilrights
marital_crisis,10,economy_finance_crisis
los_angeles_riots,10,labor_collective_action
vice_president,10,institutions_elections_law
federal_government,10,institutions_elections_law
depression_era,10,economy_finance_crisis
japanese_soldier,10,war_security_intel
nuclear_accident,10,war_security_intel
prison_fight,10,migration_police_civilrights
military_working_dogs,10,war_security_intel
toy_soldier,10,war_security_intel
adolf_eichmann's_trial,10,institutions_elections_law
witch_trial,10,institutions_elections_law
border_guard,10,migration_police_civilrights
political_prisoners,9,institutions_elections_law
finnish_winter_war,9,war_security_intel
vietnamese_refugees,9,migration_police_civilrights
hamas_terrorist_group,9,war_security_intel
british_government,9,institutions_elections_law
railroad_worker,9,labor_collective_action
spanish–american_war,9,war_security_intel
mock_trial,9,institutions_elections_law
crooked_judge,9,institutions_elections_law
military_weapons,9,war_security_intel
financial_scandal,9,economy_finance_crisis;inequality_corruption_elites
undocumented_worker,9,labor_collective_action
communist_espionage,9,war_security_intel;inequality_corruption_elites
police_drama,9,migration_police_civilrights
women_workers,9,labor_collective_action
financial_ruin,9,economy_finance_crisis
honest_cop,9,migration_police_civilrights
lebanese_civil_war,9,war_security_intel
internet_surveillance,9,war_security_intel
vice_cop,9,migration_police_civilrights
military_parade,9,war_security_intel
china_civil_war,9,war_security_intel
war_of_the_roses,9,war_security_intel
police_women,9,migration_police_civilrights
terror_brasileiro,9,war_security_intel
quarter_life_crisis,9,economy_finance_crisis
labour,9,labor_collective_action
military_airplane,9,war_security_intel
health_crisis,9,economy_finance_crisis
party_girl,9,institutions_elections_law
institutional_discrimination,9,migration_police_civilrights
phone_terror,9,war_security_intel
police_stakeout,9,migration_police_civilrights
anti_war_protest,9,war_security_intel;labor_collective_action
impersonating_a_police_officer,9,migration_police_civilrights
tank_battle,9,war_security_intel
intelligence_agent,9,war_security_intel
sperm_bank,9,economy_finance_crisis
mexican_american_border,9,migration_police_civilrights
two_man_army,9,war_security_intel
military_draft,9,war_security_intel
spy_hero,9,war_security_intel
irish_immigrant,9,migration_police_civilrights
hundred_years'_war,9,war_security_intel
cyber_terrorism,9,war_security_intel
terror_cell,9,war_security_intel
army_training,9,war_security_intel
liberation_of_hostage,9,war_security_intel
police_commissioner,9,migration_police_civilrights
war_buddies,9,war_security_intel
foreign_occupation,9,war_security_intel
racist_remark,9,migration_police_civilrights
prison_rape,9,migration_police_civilrights
government_secrets,9,institutions_elections_law
running_from_police,9,migration_police_civilrights
battle_of_the_bands,9,war_security_intel
soldier_of_fortune,9,war_security_intel
corporate_crime,9,inequality_corruption_elites
citizenship,8,migration_police_civilrights
unemployment_benefits,8,economy_finance_crisis
dance_party,8,institutions_elections_law
india_pakistan_war,8,war_security_intel
reign_of_terror,8,war_security_intel
hard_labor,8,labor_collective_action
labor_organizer,8,labor_collective_action
masquerade_party,8,institutions_elections_law
russian_oligarch,8,inequality_corruption_elites
police_pursuit,8,migration_police_civilrights
chinese_invasion_of_korea,8,war_security_intel
algerian_civil_war_(1991-2002),8,war_security_intel
manic_depression,8,economy_finance_crisis
military_hospital,8,war_security_intel
border_town,8,migration_police_civilrights
guest_worker,8,labor_collective_action
caste_politics,8,institutions_elections_law
investing,8,economy_finance_crisis
